WEEK,GEAR,SPECIES,WEIGHT,START,DFOWEEKNUM,YEAR,MONTH
064 JUN 24 - JUN 30,Gillnet,Chinook,14811,6/24/2012,64,2012,6
064 JUN 24 - JUN 30,Troll,Chinook,40282,6/24/2012,64,2012,6
064 JUN 24 - JUN 30,Gillnet,Chum,1431,6/24/2012,64,2012,6
064 JUN 24 - JUN 30,Seine,Chum,2,6/24/2012,64,2012,6
064 JUN 24 - JUN 30,Gillnet,Pink,16,6/24/2012,64,2012,6
064 JUN 24 - JUN 30,Troll,Pink,945,6/24/2012,64,2012,6
064 JUN 24 - JUN 30,Gillnet,Sockeye,107501,6/24/2012,64,2012,6
064 JUN 24 - JUN 30,Seine,Sockeye,36502,6/24/2012,64,2012,6
071 JUN 30 - JUL 06,Gillnet,Chinook,74566,6/30/1996,71,1996,6
071 JUN 30 - JUL 06,Gillnet,Chum,354673,6/30/1996,71,1996,6
071 JUN 30 - JUL 06,Gillnet,Coho,52155,6/30/1996,71,1996,6
071 JUN 30 - JUL 06,Gillnet,Pink,87425,6/30/1996,71,1996,6
071 JUN 30 - JUL 06,Gillnet,Sockeye,807312,6/30/1996,71,1996,6
071 JUN 30 - JUL 06,Seine,Sockeye,2532,6/30/1996,71,1996,6
071 JUN 30 - JUL 06,Gillnet,Steelhead,130,6/30/1996,71,1996,6
071 JUN 29 - JUL 05,Gillnet,Chinook,56171,6/29/1997,71,1997,6
071 JUN 29 - JUL 05,Troll,Chinook,152430,6/29/1997,71,1997,6
071 JUN 29 - JUL 05,Gillnet,Chum,91565,6/29/1997,71,1997,6
071 JUN 29 - JUL 05,Seine,Chum,9,6/29/1997,71,1997,6
071 JUN 29 - JUL 05,Troll,Chum,623,6/29/1997,71,1997,6
071 JUN 29 - JUL 05,Gillnet,Coho,9957,6/29/1997,71,1997,6
071 JUN 29 - JUL 05,Troll,Coho,547,6/29/1997,71,1997,6
071 JUN 29 - JUL 05,Gillnet,Pink,5583,6/29/1997,71,1997,6
071 JUN 29 - JUL 05,Troll,Pink,360,6/29/1997,71,1997,6
071 JUN 29 - JUL 05,Gillnet,Sockeye,377436,6/29/1997,71,1997,6
071 JUN 29 - JUL 05,Seine,Sockeye,1276,6/29/1997,71,1997,6
071 JUN 29 - JUL 05,Troll,Sockeye,318,6/29/1997,71,1997,6
071 JUN 29 - JUL 05,Gillnet,Steelhead,124,6/29/1997,71,1997,6
071 JUN 28 - JUL 04,Gillnet,Chinook,27496,6/28/1998,71,1998,6
071 JUN 28 - JUL 04,Gillnet,Chum,90767,6/28/1998,71,1998,6
071 JUN 28 - JUL 04,Gillnet,Coho,77,6/28/1998,71,1998,6
071 JUN 28 - JUL 04,Gillnet,Pink,3387,6/28/1998,71,1998,6
071 JUN 28 - JUL 04,Gillnet,Sockeye,222200,6/28/1998,71,1998,6
071 JUN 28 - JUL 04,Seine,Sockeye,5600,6/28/1998,71,1998,6
071 JUN 28 - JUL 04,Troll,Sockeye,694,6/28/1998,71,1998,6
071 JUN 28 - JUL 04,Gillnet,Steelhead,49,6/28/1998,71,1998,6
071 JUN 27 - JUL 03,Gillnet,Chinook,33360,6/27/1999,71,1999,6
071 JUN 27 - JUL 03,Gillnet,Chum,29403,6/27/1999,71,1999,6
071 JUN 27 - JUL 03,Gillnet,Coho,5,6/27/1999,71,1999,6
071 JUN 27 - JUL 03,Gillnet,Pink,709,6/27/1999,71,1999,6
071 JUN 27 - JUL 03,Gillnet,Sockeye,381789,6/27/1999,71,1999,6
071 JUN 27 - JUL 03,Seine,Sockeye,4256,6/27/1999,71,1999,6
071 JUN 27 - JUL 03,Gillnet,Steelhead,23,6/27/1999,71,1999,6
071 JUN 25 - JUL 01,Gillnet,Chinook,63178,6/25/2000,71,2000,6
071 JUN 25 - JUL 01,Troll,Chinook,49,6/25/2000,71,2000,6
071 JUN 25 - JUL 01,Gillnet,Chum,40274,6/25/2000,71,2000,6
071 JUN 25 - JUL 01,Gillnet,Pink,11782,6/25/2000,71,2000,6
071 JUN 25 - JUL 01,Gillnet,Sockeye,471179,6/25/2000,71,2000,6
071 JUN 25 - JUL 01,Seine,Sockeye,1102,6/25/2000,71,2000,6
071 JUN 25 - JUL 01,Troll,Sockeye,1570,6/25/2000,71,2000,6
071 JUN 25 - JUL 01,Gillnet,Steelhead,35,6/25/2000,71,2000,6
071 JUL 01 - JUL 07,Gillnet,Chinook,52280,7/1/2001,71,2001,7
071 JUL 01 - JUL 07,Troll,Chinook,49,7/1/2001,71,2001,7
071 JUL 01 - JUL 07,Gillnet,Chum,102483,7/1/2001,71,2001,7
071 JUL 01 - JUL 07,Troll,Chum,19,7/1/2001,71,2001,7
071 JUL 01 - JUL 07,Gillnet,Pink,21254,7/1/2001,71,2001,7
071 JUL 01 - JUL 07,Troll,Pink,556,7/1/2001,71,2001,7
071 JUL 01 - JUL 07,Gillnet,Sockeye,463032,7/1/2001,71,2001,7
071 JUL 01 - JUL 07,Seine,Sockeye,5187,7/1/2001,71,2001,7
071 JUL 01 - JUL 07,Troll,Sockeye,14041,7/1/2001,71,2001,7
071 JUL 01 - JUL 07,Gillnet,Steelhead,7,7/1/2001,71,2001,7
071 JUN 30 - JUL 06,Gillnet,Chinook,50125,6/30/2002,71,2002,6
071 JUN 30 - JUL 06,Gillnet,Chum,187946,6/30/2002,71,2002,6
071 JUN 30 - JUL 06,Gillnet,Coho,10,6/30/2002,71,2002,6
071 JUN 30 - JUL 06,Gillnet,Pink,14479,6/30/2002,71,2002,6
071 JUN 30 - JUL 06,Gillnet,Sockeye,808117,6/30/2002,71,2002,6
071 JUN 30 - JUL 06,Seine,Sockeye,91138,6/30/2002,71,2002,6
071 JUN 29 - JUL 05,Gillnet,Chinook,27701,6/29/2003,71,2003,6
071 JUN 29 - JUL 05,Troll,Chinook,278215,6/29/2003,71,2003,6
071 JUN 29 - JUL 05,Gillnet,Chum,77205,6/29/2003,71,2003,6
071 JUN 29 - JUL 05,Troll,Chum,40,6/29/2003,71,2003,6
071 JUN 29 - JUL 05,Gillnet,Coho,29,6/29/2003,71,2003,6
071 JUN 29 - JUL 05,Gillnet,Pink,318914,6/29/2003,71,2003,6
071 JUN 29 - JUL 05,Troll,Pink,8542,6/29/2003,71,2003,6
071 JUN 29 - JUL 05,Gillnet,Sockeye,523780,6/29/2003,71,2003,6
071 JUN 29 - JUL 05,Seine,Sockeye,109253,6/29/2003,71,2003,6
071 JUN 29 - JUL 05,Gillnet,Steelhead,13,6/29/2003,71,2003,6
071 JUN 27 - JUL 03,Gillnet,Chinook,30816,6/27/2004,71,2004,6
071 JUN 27 - JUL 03,Troll,Chinook,428959,6/27/2004,71,2004,6
071 JUN 27 - JUL 03,Gillnet,Chum,56424,6/27/2004,71,2004,6
071 JUN 27 - JUL 03,Troll,Chum,3,6/27/2004,71,2004,6
071 JUN 27 - JUL 03,Gillnet,Coho,279,6/27/2004,71,2004,6
071 JUN 27 - JUL 03,Gillnet,Pink,2242,6/27/2004,71,2004,6
071 JUN 27 - JUL 03,Troll,Pink,2286,6/27/2004,71,2004,6
071 JUN 27 - JUL 03,Gillnet,Sockeye,248890,6/27/2004,71,2004,6
071 JUN 27 - JUL 03,Seine,Sockeye,26237,6/27/2004,71,2004,6
071 JUN 26 - JUL 02,Gillnet,Chinook,12746,6/26/2005,71,2005,6
071 JUN 26 - JUL 02,Troll,Chinook,160432,6/26/2005,71,2005,6
071 JUN 26 - JUL 02,Gillnet,Chum,69614,6/26/2005,71,2005,6
071 JUN 26 - JUL 02,Gillnet,Pink,71773,6/26/2005,71,2005,6
071 JUN 26 - JUL 02,Troll,Pink,303,6/26/2005,71,2005,6
071 JUN 26 - JUL 02,Gillnet,Sockeye,135725,6/26/2005,71,2005,6
071 JUN 26 - JUL 02,Seine,Sockeye,5293,6/26/2005,71,2005,6
071 JUL 02 - JUL 08,Gillnet,Chinook,29925,7/2/2006,71,2006,7
071 JUL 02 - JUL 08,Troll,Chinook,168102,7/2/2006,71,2006,7
071 JUL 02 - JUL 08,Gillnet,Chum,184724,7/2/2006,71,2006,7
071 JUL 02 - JUL 08,Gillnet,Coho,335,7/2/2006,71,2006,7
071 JUL 02 - JUL 08,Gillnet,Pink,7269,7/2/2006,71,2006,7
071 JUL 02 - JUL 08,Troll,Pink,433,7/2/2006,71,2006,7
071 JUL 02 - JUL 08,Gillnet,Sockeye,272552,7/2/2006,71,2006,7
071 JUL 02 - JUL 08,Gillnet,Steelhead,18,7/2/2006,71,2006,7
071 JUL 01 - JUL 07,Gillnet,Chinook,34841,7/1/2007,71,2007,7
071 JUL 01 - JUL 07,Seine,Chinook,29,7/1/2007,71,2007,7
071 JUL 01 - JUL 07,Troll,Chinook,48612,7/1/2007,71,2007,7
071 JUL 01 - JUL 07,Gillnet,Chum,45184,7/1/2007,71,2007,7
071 JUL 01 - JUL 07,Gillnet,Coho,10710,7/1/2007,71,2007,7
071 JUL 01 - JUL 07,Gillnet,Pink,5500,7/1/2007,71,2007,7
071 JUL 01 - JUL 07,Troll,Pink,197,7/1/2007,71,2007,7
071 JUL 01 - JUL 07,Gillnet,Sockeye,134499,7/1/2007,71,2007,7
071 JUL 01 - JUL 07,Seine,Sockeye,181,7/1/2007,71,2007,7
071 JUN 29 - JUL 05,Gillnet,Chinook,7634,6/29/2008,71,2008,6
071 JUN 29 - JUL 05,Troll,Chinook,46801,6/29/2008,71,2008,6
071 JUN 29 - JUL 05,Gillnet,Chum,9403,6/29/2008,71,2008,6
071 JUN 29 - JUL 05,Troll,Chum,4,6/29/2008,71,2008,6
071 JUN 29 - JUL 05,Gillnet,Coho,112,6/29/2008,71,2008,6
071 JUN 29 - JUL 05,Gillnet,Pink,759,6/29/2008,71,2008,6
071 JUN 29 - JUL 05,Troll,Pink,5222,6/29/2008,71,2008,6
071 JUN 29 - JUL 05,Gillnet,Sockeye,54040,6/29/2008,71,2008,6
071 JUN 28 - JUL 04,Gillnet,Chinook,20325,6/28/2009,71,2009,6
071 JUN 28 - JUL 04,Troll,Chinook,60036,6/28/2009,71,2009,6
071 JUN 28 - JUL 04,Gillnet,Chum,91978,6/28/2009,71,2009,6
071 JUN 28 - JUL 04,Gillnet,Coho,37,6/28/2009,71,2009,6
071 JUN 28 - JUL 04,Gillnet,Pink,2973,6/28/2009,71,2009,6
071 JUN 28 - JUL 04,Troll,Pink,1271,6/28/2009,71,2009,6
071 JUN 28 - JUL 04,Gillnet,Sockeye,108743,6/28/2009,71,2009,6
071 JUN 28 - JUL 04,Gillnet,Steelhead,5,6/28/2009,71,2009,6
071 JUN 27 - JUL 03,Gillnet,Chinook,15701,6/27/2010,71,2010,6
071 JUN 27 - JUL 03,Troll,Chinook,104628,6/27/2010,71,2010,6
071 JUN 27 - JUL 03,Gillnet,Chum,13811,6/27/2010,71,2010,6
071 JUN 27 - JUL 03,Gillnet,Coho,51,6/27/2010,71,2010,6
071 JUN 27 - JUL 03,Gillnet,Pink,398,6/27/2010,71,2010,6
071 JUN 27 - JUL 03,Troll,Pink,3136,6/27/2010,71,2010,6
071 JUN 27 - JUL 03,Gillnet,Sockeye,89001,6/27/2010,71,2010,6
071 JUN 27 - JUL 03,Seine,Sockeye,46131,6/27/2010,71,2010,6
071 JUN 26 - JUL 02,Gillnet,Chinook,17650,6/26/2011,71,2011,6
071 JUN 26 - JUL 02,Gillnet,Chum,754,6/26/2011,71,2011,6
071 JUN 26 - JUL 02,Gillnet,Coho,90,6/26/2011,71,2011,6
071 JUN 26 - JUL 02,Gillnet,Pink,94,6/26/2011,71,2011,6
071 JUN 26 - JUL 02,Gillnet,Sockeye,52541,6/26/2011,71,2011,6
071 JUN 26 - JUL 02,Seine,Sockeye,35426,6/26/2011,71,2011,6
071 JUL 01 - JUL 07,Gillnet,Chinook,15037,7/1/2012,71,2012,7
071 JUL 01 - JUL 07,Troll,Chinook,75597,7/1/2012,71,2012,7
071 JUL 01 - JUL 07,Gillnet,Chum,62766,7/1/2012,71,2012,7
071 JUL 01 - JUL 07,Gillnet,Coho,11,7/1/2012,71,2012,7
071 JUL 01 - JUL 07,Troll,Coho,6869,7/1/2012,71,2012,7
071 JUL 01 - JUL 07,Gillnet,Pink,5208,7/1/2012,71,2012,7
071 JUL 01 - JUL 07,Troll,Pink,4875,7/1/2012,71,2012,7
071 JUL 01 - JUL 07,Gillnet,Sockeye,204441,7/1/2012,71,2012,7
071 JUL 01 - JUL 07,Seine,Sockeye,34909,7/1/2012,71,2012,7
071 JUL 01 - JUL 07,Troll,Sockeye,87,7/1/2012,71,2012,7
072 JUL 07 - JUL 13,Gillnet,Chinook,74264,7/7/1996,72,1996,7
072 JUL 07 - JUL 13,Seine,Chinook,3489,7/7/1996,72,1996,7
072 JUL 07 - JUL 13,Gillnet,Chum,359066,7/7/1996,72,1996,7
072 JUL 07 - JUL 13,Seine,Chum,149141,7/7/1996,72,1996,7
072 JUL 07 - JUL 13,Troll,Chum,1920,7/7/1996,72,1996,7
072 JUL 07 - JUL 13,Gillnet,Coho,44801,7/7/1996,72,1996,7
072 JUL 07 - JUL 13,Seine,Coho,16153,7/7/1996,72,1996,7
072 JUL 07 - JUL 13,Troll,Coho,21584,7/7/1996,72,1996,7
072 JUL 07 - JUL 13,Gillnet,Pink,74872,7/7/1996,72,1996,7
072 JUL 07 - JUL 13,Seine,Pink,77445,7/7/1996,72,1996,7
072 JUL 07 - JUL 13,Troll,Pink,4971,7/7/1996,72,1996,7
072 JUL 07 - JUL 13,Gillnet,Sockeye,1476316,7/7/1996,72,1996,7
072 JUL 07 - JUL 13,Seine,Sockeye,244574,7/7/1996,72,1996,7
072 JUL 07 - JUL 13,Troll,Sockeye,414,7/7/1996,72,1996,7
072 JUL 07 - JUL 13,Gillnet,Steelhead,179,7/7/1996,72,1996,7
072 JUL 07 - JUL 13,Seine,Steelhead,17,7/7/1996,72,1996,7
072 JUL 06 - JUL 12,Gillnet,Chinook,39307,7/6/1997,72,1997,7
072 JUL 06 - JUL 12,Troll,Chinook,125834,7/6/1997,72,1997,7
072 JUL 06 - JUL 12,Gillnet,Chum,185188,7/6/1997,72,1997,7
072 JUL 06 - JUL 12,Troll,Chum,4833,7/6/1997,72,1997,7
072 JUL 06 - JUL 12,Gillnet,Coho,30197,7/6/1997,72,1997,7
072 JUL 06 - JUL 12,Troll,Coho,17018,7/6/1997,72,1997,7
072 JUL 06 - JUL 12,Gillnet,Pink,50753,7/6/1997,72,1997,7
072 JUL 06 - JUL 12,Troll,Pink,5378,7/6/1997,72,1997,7
072 JUL 06 - JUL 12,Gillnet,Sockeye,1339437,7/6/1997,72,1997,7
072 JUL 06 - JUL 12,Troll,Sockeye,38119,7/6/1997,72,1997,7
072 JUL 06 - JUL 12,Gillnet,Steelhead,28,7/6/1997,72,1997,7
072 JUL 06 - JUL 12,Troll,Steelhead,6,7/6/1997,72,1997,7
072 JUL 05 - JUL 11,Gillnet,Chinook,25298,7/5/1998,72,1998,7
072 JUL 05 - JUL 11,Troll,Chinook,4,7/5/1998,72,1998,7
072 JUL 05 - JUL 11,Gillnet,Chum,240136,7/5/1998,72,1998,7
072 JUL 05 - JUL 11,Gillnet,Coho,184,7/5/1998,72,1998,7
072 JUL 05 - JUL 11,Gillnet,Pink,17069,7/5/1998,72,1998,7
072 JUL 05 - JUL 11,Gillnet,Sockeye,281604,7/5/1998,72,1998,7
072 JUL 05 - JUL 11,Seine,Sockeye,15021,7/5/1998,72,1998,7
072 JUL 05 - JUL 11,Troll,Sockeye,5464,7/5/1998,72,1998,7
072 JUL 05 - JUL 11,Gillnet,Steelhead,148,7/5/1998,72,1998,7
072 JUL 04 - JUL 10,Gillnet,Chinook,25216,7/4/1999,72,1999,7
072 JUL 04 - JUL 10,Troll,Chinook,482,7/4/1999,72,1999,7
072 JUL 04 - JUL 10,Gillnet,Chum,91633,7/4/1999,72,1999,7
072 JUL 04 - JUL 10,Gillnet,Coho,32,7/4/1999,72,1999,7
072 JUL 04 - JUL 10,Gillnet,Pink,21035,7/4/1999,72,1999,7
072 JUL 04 - JUL 10,Gillnet,Sockeye,274595,7/4/1999,72,1999,7
072 JUL 04 - JUL 10,Seine,Sockeye,1391,7/4/1999,72,1999,7
072 JUL 04 - JUL 10,Troll,Sockeye,6228,7/4/1999,72,1999,7
072 JUL 04 - JUL 10,Gillnet,Steelhead,24,7/4/1999,72,1999,7
072 JUL 02 - JUL 08,Gillnet,Chinook,54336,7/2/2000,72,2000,7
072 JUL 02 - JUL 08,Gillnet,Chum,74129,7/2/2000,72,2000,7
072 JUL 02 - JUL 08,Gillnet,Pink,32961,7/2/2000,72,2000,7
072 JUL 02 - JUL 08,Gillnet,Sockeye,703290,7/2/2000,72,2000,7
072 JUL 02 - JUL 08,Seine,Sockeye,6949,7/2/2000,72,2000,7
072 JUL 02 - JUL 08,Gillnet,Steelhead,10,7/2/2000,72,2000,7
072 JUL 08 - JUL 14,Gillnet,Chinook,54197,7/8/2001,72,2001,7
072 JUL 08 - JUL 14,Troll,Chinook,1672,7/8/2001,72,2001,7
072 JUL 08 - JUL 14,Gillnet,Chum,139991,7/8/2001,72,2001,7
072 JUL 08 - JUL 14,Troll,Chum,599,7/8/2001,72,2001,7
072 JUL 08 - JUL 14,Gillnet,Coho,121,7/8/2001,72,2001,7
072 JUL 08 - JUL 14,Gillnet,Pink,28588,7/8/2001,72,2001,7
072 JUL 08 - JUL 14,Troll,Pink,2697,7/8/2001,72,2001,7
072 JUL 08 - JUL 14,Gillnet,Sockeye,629554,7/8/2001,72,2001,7
072 JUL 08 - JUL 14,Troll,Sockeye,429,7/8/2001,72,2001,7
072 JUL 07 - JUL 13,Gillnet,Chinook,36769,7/7/2002,72,2002,7
072 JUL 07 - JUL 13,Troll,Chinook,4124,7/7/2002,72,2002,7
072 JUL 07 - JUL 13,Gillnet,Chum,167553,7/7/2002,72,2002,7
072 JUL 07 - JUL 13,Gillnet,Coho,174,7/7/2002,72,2002,7
072 JUL 07 - JUL 13,Troll,Coho,541,7/7/2002,72,2002,7
072 JUL 07 - JUL 13,Gillnet,Pink,36359,7/7/2002,72,2002,7
072 JUL 07 - JUL 13,Gillnet,Sockeye,796935,7/7/2002,72,2002,7
072 JUL 07 - JUL 13,Seine,Sockeye,76962,7/7/2002,72,2002,7
072 JUL 07 - JUL 13,Troll,Sockeye,25113,7/7/2002,72,2002,7
072 JUL 07 - JUL 13,Gillnet,Steelhead,27,7/7/2002,72,2002,7
072 JUL 06 - JUL 12,Gillnet,Chinook,20435,7/6/2003,72,2003,7
072 JUL 06 - JUL 12,Troll,Chinook,220128,7/6/2003,72,2003,7
072 JUL 06 - JUL 12,Gillnet,Chum,58988,7/6/2003,72,2003,7
072 JUL 06 - JUL 12,Troll,Chum,74,7/6/2003,72,2003,7
072 JUL 06 - JUL 12,Gillnet,Coho,126,7/6/2003,72,2003,7
072 JUL 06 - JUL 12,Gillnet,Pink,236444,7/6/2003,72,2003,7
072 JUL 06 - JUL 12,Troll,Pink,11197,7/6/2003,72,2003,7
072 JUL 06 - JUL 12,Gillnet,Sockeye,439198,7/6/2003,72,2003,7
072 JUL 06 - JUL 12,Seine,Sockeye,71873,7/6/2003,72,2003,7
072 JUL 06 - JUL 12,Troll,Sockeye,132,7/6/2003,72,2003,7
072 JUL 06 - JUL 12,Gillnet,Steelhead,3,7/6/2003,72,2003,7
072 JUL 04 - JUL 10,Gillnet,Chinook,23678,7/4/2004,72,2004,7
072 JUL 04 - JUL 10,Troll,Chinook,252366,7/4/2004,72,2004,7
072 JUL 04 - JUL 10,Gillnet,Chum,122350,7/4/2004,72,2004,7
072 JUL 04 - JUL 10,Troll,Chum,18,7/4/2004,72,2004,7
072 JUL 04 - JUL 10,Gillnet,Coho,270,7/4/2004,72,2004,7
072 JUL 04 - JUL 10,Gillnet,Pink,60644,7/4/2004,72,2004,7
072 JUL 04 - JUL 10,Troll,Pink,935,7/4/2004,72,2004,7
072 JUL 04 - JUL 10,Gillnet,Sockeye,265557,7/4/2004,72,2004,7
072 JUL 04 - JUL 10,Seine,Sockeye,30965,7/4/2004,72,2004,7
072 JUL 03 - JUL 09,Gillnet,Chinook,17847,7/3/2005,72,2005,7
072 JUL 03 - JUL 09,Troll,Chinook,184375,7/3/2005,72,2005,7
072 JUL 03 - JUL 09,Gillnet,Chum,141442,7/3/2005,72,2005,7
072 JUL 03 - JUL 09,Troll,Chum,58,7/3/2005,72,2005,7
072 JUL 03 - JUL 09,Gillnet,Coho,85,7/3/2005,72,2005,7
072 JUL 03 - JUL 09,Gillnet,Pink,64814,7/3/2005,72,2005,7
072 JUL 03 - JUL 09,Troll,Pink,2120,7/3/2005,72,2005,7
072 JUL 03 - JUL 09,Gillnet,Sockeye,88155,7/3/2005,72,2005,7
072 JUL 03 - JUL 09,Seine,Sockeye,905,7/3/2005,72,2005,7
072 JUL 09 - JUL 15,Gillnet,Chinook,32290,7/9/2006,72,2006,7
072 JUL 09 - JUL 15,Troll,Chinook,179863,7/9/2006,72,2006,7
072 JUL 09 - JUL 15,Gillnet,Chum,151335,7/9/2006,72,2006,7
072 JUL 09 - JUL 15,Gillnet,Coho,411,7/9/2006,72,2006,7
072 JUL 09 - JUL 15,Gillnet,Pink,35297,7/9/2006,72,2006,7
072 JUL 09 - JUL 15,Troll,Pink,1214,7/9/2006,72,2006,7
072 JUL 09 - JUL 15,Gillnet,Sockeye,416386,7/9/2006,72,2006,7
072 JUL 09 - JUL 15,Seine,Sockeye,196,7/9/2006,72,2006,7
072 JUL 09 - JUL 15,Gillnet,Steelhead,46,7/9/2006,72,2006,7
072 JUL 08 - JUL 14,Gillnet,Chinook,21748,7/8/2007,72,2007,7
072 JUL 08 - JUL 14,Seine,Chinook,1,7/8/2007,72,2007,7
072 JUL 08 - JUL 14,Troll,Chinook,76700,7/8/2007,72,2007,7
072 JUL 08 - JUL 14,Gillnet,Chum,145880,7/8/2007,72,2007,7
072 JUL 08 - JUL 14,Troll,Chum,16,7/8/2007,72,2007,7
072 JUL 08 - JUL 14,Gillnet,Coho,8831,7/8/2007,72,2007,7
072 JUL 08 - JUL 14,Troll,Coho,883,7/8/2007,72,2007,7
072 JUL 08 - JUL 14,Gillnet,Pink,25860,7/8/2007,72,2007,7
072 JUL 08 - JUL 14,Troll,Pink,2096,7/8/2007,72,2007,7
072 JUL 08 - JUL 14,Gillnet,Sockeye,88926,7/8/2007,72,2007,7
072 JUL 08 - JUL 14,Seine,Sockeye,181,7/8/2007,72,2007,7
072 JUL 08 - JUL 14,Troll,Sockeye,11,7/8/2007,72,2007,7
072 JUL 06 - JUL 12,Gillnet,Chinook,34986,7/6/2008,72,2008,7
072 JUL 06 - JUL 12,Troll,Chinook,56489,7/6/2008,72,2008,7
072 JUL 06 - JUL 12,Gillnet,Chum,26604,7/6/2008,72,2008,7
072 JUL 06 - JUL 12,Gillnet,Coho,134,7/6/2008,72,2008,7
072 JUL 06 - JUL 12,Troll,Coho,260,7/6/2008,72,2008,7
072 JUL 06 - JUL 12,Gillnet,Pink,1273,7/6/2008,72,2008,7
072 JUL 06 - JUL 12,Troll,Pink,4312,7/6/2008,72,2008,7
072 JUL 06 - JUL 12,Gillnet,Sockeye,34141,7/6/2008,72,2008,7
072 JUL 06 - JUL 12,Gillnet,Steelhead,65,7/6/2008,72,2008,7
072 JUL 05 - JUL 11,Gillnet,Chinook,12121,7/5/2009,72,2009,7
072 JUL 05 - JUL 11,Troll,Chinook,93696,7/5/2009,72,2009,7
072 JUL 05 - JUL 11,Gillnet,Chum,75918,7/5/2009,72,2009,7
072 JUL 05 - JUL 11,Troll,Chum,41,7/5/2009,72,2009,7
072 JUL 05 - JUL 11,Gillnet,Coho,142,7/5/2009,72,2009,7
072 JUL 05 - JUL 11,Troll,Coho,109,7/5/2009,72,2009,7
072 JUL 05 - JUL 11,Gillnet,Pink,28993,7/5/2009,72,2009,7
072 JUL 05 - JUL 11,Troll,Pink,7774,7/5/2009,72,2009,7
072 JUL 05 - JUL 11,Gillnet,Sockeye,84396,7/5/2009,72,2009,7
072 JUL 05 - JUL 11,Gillnet,Steelhead,5,7/5/2009,72,2009,7
072 JUL 04 - JUL 10,Gillnet,Chinook,9929,7/4/2010,72,2010,7
072 JUL 04 - JUL 10,Troll,Chinook,122987,7/4/2010,72,2010,7
072 JUL 04 - JUL 10,Gillnet,Chum,60565,7/4/2010,72,2010,7
072 JUL 04 - JUL 10,Gillnet,Coho,210,7/4/2010,72,2010,7
072 JUL 04 - JUL 10,Troll,Coho,2897,7/4/2010,72,2010,7
072 JUL 04 - JUL 10,Gillnet,Pink,9629,7/4/2010,72,2010,7
072 JUL 04 - JUL 10,Troll,Pink,3255,7/4/2010,72,2010,7
072 JUL 04 - JUL 10,Gillnet,Sockeye,105642,7/4/2010,72,2010,7
072 JUL 04 - JUL 10,Seine,Sockeye,31494,7/4/2010,72,2010,7
072 JUL 03 - JUL 09,Gillnet,Chinook,23603,7/3/2011,72,2011,7
072 JUL 03 - JUL 09,Gillnet,Chum,3178,7/3/2011,72,2011,7
072 JUL 03 - JUL 09,Gillnet,Coho,154,7/3/2011,72,2011,7
072 JUL 03 - JUL 09,Troll,Coho,12372,7/3/2011,72,2011,7
072 JUL 03 - JUL 09,Gillnet,Pink,17998,7/3/2011,72,2011,7
072 JUL 03 - JUL 09,Seine,Pink,1183,7/3/2011,72,2011,7
072 JUL 03 - JUL 09,Troll,Pink,724,7/3/2011,72,2011,7
072 JUL 03 - JUL 09,Gillnet,Sockeye,271710,7/3/2011,72,2011,7
072 JUL 03 - JUL 09,Seine,Sockeye,191813,7/3/2011,72,2011,7
072 JUL 03 - JUL 09,Troll,Sockeye,20,7/3/2011,72,2011,7
072 JUL 08 - JUL 14,Gillnet,Chinook,8043,7/8/2012,72,2012,7
072 JUL 08 - JUL 14,Troll,Chinook,200948,7/8/2012,72,2012,7
072 JUL 08 - JUL 14,Gillnet,Chum,80919,7/8/2012,72,2012,7
072 JUL 08 - JUL 14,Seine,Chum,30687,7/8/2012,72,2012,7
072 JUL 08 - JUL 14,Troll,Chum,64,7/8/2012,72,2012,7
072 JUL 08 - JUL 14,Gillnet,Coho,175,7/8/2012,72,2012,7
072 JUL 08 - JUL 14,Troll,Coho,4233,7/8/2012,72,2012,7
072 JUL 08 - JUL 14,Gillnet,Pink,15714,7/8/2012,72,2012,7
072 JUL 08 - JUL 14,Seine,Pink,3701,7/8/2012,72,2012,7
072 JUL 08 - JUL 14,Troll,Pink,19807,7/8/2012,72,2012,7
072 JUL 08 - JUL 14,Gillnet,Sockeye,377479,7/8/2012,72,2012,7
072 JUL 08 - JUL 14,Seine,Sockeye,21509,7/8/2012,72,2012,7
072 JUL 08 - JUL 14,Troll,Sockeye,101,7/8/2012,72,2012,7
073 JUL 14 - JUL 20,Gillnet,Chinook,42814,7/14/1996,73,1996,7
073 JUL 14 - JUL 20,Seine,Chinook,9713,7/14/1996,73,1996,7
073 JUL 14 - JUL 20,Gillnet,Chum,420099,7/14/1996,73,1996,7
073 JUL 14 - JUL 20,Seine,Chum,247637,7/14/1996,73,1996,7
073 JUL 14 - JUL 20,Troll,Chum,25700,7/14/1996,73,1996,7
073 JUL 14 - JUL 20,Gillnet,Coho,45958,7/14/1996,73,1996,7
073 JUL 14 - JUL 20,Seine,Coho,24482,7/14/1996,73,1996,7
073 JUL 14 - JUL 20,Troll,Coho,121472,7/14/1996,73,1996,7
073 JUL 14 - JUL 20,Gillnet,Pink,111748,7/14/1996,73,1996,7
073 JUL 14 - JUL 20,Seine,Pink,265815,7/14/1996,73,1996,7
073 JUL 14 - JUL 20,Troll,Pink,123421,7/14/1996,73,1996,7
073 JUL 14 - JUL 20,Gillnet,Sockeye,1698484,7/14/1996,73,1996,7
