SPECIES_GROUP,SPECIES,GEAR,MONTH,VALUE,YEAR
OTHER FISH,OTHER FISH,LONGLINE,Mar-97,39,1997
OTHER GROUNDFISH,IDIOT,BOTTOM OTTER TRAWL,Mar-97,53178,1997
OTHER GROUNDFISH,SHARK,BOTTOM OTTER TRAWL,Mar-97,30,1997
OTHER GROUNDFISH,UNSPECIFIED GROUNDFISH,BOTTOM OTTER TRAWL,Mar-97,360,1997
OTHER GROUNDFISH,IDIOT,LONGLINE,Mar-97,1549,1997
OTHER GROUNDFISH,UNSPECIFIED GROUNDFISH,LONGLINE,Mar-97,964,1997
PACIFIC COD,PACIFIC COD,BOTTOM OTTER TRAWL,Mar-97,288249,1997
PACIFIC COD,PACIFIC COD,LONGLINE,Mar-97,411,1997
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,BOTTOM OTTER TRAWL,Mar-97,283527,1997
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,LONGLINE,Mar-97,69,1997
POLLOCK,POLLOCK,BOTTOM OTTER TRAWL,Mar-97,484092,1997
POLLOCK,POLLOCK,MIDWATER TRAWL,Mar-97,533933,1997
REDUCTION,REDUCTION,BOTTOM OTTER TRAWL,Mar-97,294,1997
ROCKFISH,GREENIES,BOTTOM OTTER TRAWL,Mar-97,83431,1997
ROCKFISH,OTHER ROCKFISH,BOTTOM OTTER TRAWL,Mar-97,360459,1997
ROCKFISH,RED SNAPPER (YELLOWEYE),BOTTOM OTTER TRAWL,Mar-97,1157,1997
ROCKFISH,REEDI (YELLOWMOUTH),BOTTOM OTTER TRAWL,Mar-97,95385,1997
ROCKFISH,GREENIES,LONGLINE,Mar-97,406,1997
ROCKFISH,OTHER ROCKFISH,LONGLINE,Mar-97,60644,1997
ROCKFISH,RED SNAPPER (YELLOWEYE),LONGLINE,Mar-97,36012,1997
ROCKFISH,REEDI (YELLOWMOUTH),LONGLINE,Mar-97,334,1997
ROCKFISH,GREENIES,MIDWATER TRAWL,Mar-97,13752,1997
ROCKFISH,OTHER ROCKFISH,MIDWATER TRAWL,Mar-97,24827,1997
ROCKFISH,REEDI (YELLOWMOUTH),MIDWATER TRAWL,Mar-97,10468,1997
SABLEFISH,SABLEFISH,BOTTOM OTTER TRAWL,Mar-97,6668,1997
SABLEFISH,SABLEFISH,LONGLINE,Mar-97,16304,1997
SABLEFISH,SABLEFISH,TRAP,Mar-97,315761,1997
SALMON,CHINOOK,SALMON GILLNET,Mar-97,46,1997
SKATE,SKATE,BOTTOM OTTER TRAWL,Mar-97,168249,1997
SKATE,SKATE,LONGLINE,Mar-97,12265,1997
SOLE,BRILL SOLE,BOTTOM OTTER TRAWL,Mar-97,20909,1997
SOLE,BUTTER SOLE,BOTTOM OTTER TRAWL,Mar-97,781,1997
SOLE,DOVER/SLIPPERY SOLE,BOTTOM OTTER TRAWL,Mar-97,138276,1997
SOLE,LEMON SOLE,BOTTOM OTTER TRAWL,Mar-97,108618,1997
SOLE,MIXED SOLE,BOTTOM OTTER TRAWL,Mar-97,8229,1997
SOLE,REX/WITCHES SOLE,BOTTOM OTTER TRAWL,Mar-97,15421,1997
SOLE,ROCK SOLE,BOTTOM OTTER TRAWL,Mar-97,70497,1997
SOLE,BRILL SOLE,LONGLINE,Mar-97,3,1997
SOLE,LEMON SOLE,LONGLINE,Mar-97,24,1997
SOLE,MIXED SOLE,LONGLINE,Mar-97,1,1997
SOLE,ROCK SOLE,LONGLINE,Mar-97,135,1997
SOLE,LEMON SOLE,MIDWATER TRAWL,Mar-97,546,1997
SOLE,ROCK SOLE,MIDWATER TRAWL,Mar-97,727,1997
STURGEON,STURGEON,BOTTOM OTTER TRAWL,Mar-97,272,1997
TURBOT,TURBOT,BOTTOM OTTER TRAWL,Mar-97,265284,1997
DOGFISH,DOGFISH,BOTTOM OTTER TRAWL,Apr-97,3924,1997
DOGFISH,DOGFISH,LONGLINE,Apr-97,193445,1997
DOGFISH,DOGFISH,MIDWATER TRAWL,Apr-97,636,1997
FLOUNDER,FLOUNDER,BOTTOM OTTER TRAWL,Apr-97,1576,1997
FLOUNDER,FLOUNDER,MIDWATER TRAWL,Apr-97,55,1997
HAKE,HAKE,BOTTOM OTTER TRAWL,Apr-97,42112,1997
HAKE,HAKE,MIDWATER TRAWL,Apr-97,1246146,1997
HALIBUT,HALIBUT,LONGLINE,Apr-97,1122832,1997
HERRING,UNSPECIFIED HERRING,BOTTOM OTTER TRAWL,Apr-97,14,1997
HERRING,ROE HERRING,HERRING DRIFT NET,Apr-97,5591496,1997
HERRING,BAIT HERRING,HERRING PURSE SEINE,Apr-97,2872,1997
HERRING,SPAWN ON KELP,OTHER GEAR,Apr-97,265583,1997
LINGCOD,LINGCOD,BOTTOM OTTER TRAWL,Apr-97,84506,1997
LINGCOD,LINGCOD,LONGLINE,Apr-97,95971,1997
LINGCOD,LINGCOD,MIDWATER TRAWL,Apr-97,33,1997
OTHER FISH,OTHER FISH,BOTTOM OTTER TRAWL,Apr-97,1927,1997
OTHER FISH,OTHER FISH,LONGLINE,Apr-97,109,1997
OTHER GROUNDFISH,IDIOT,BOTTOM OTTER TRAWL,Apr-97,51788,1997
OTHER GROUNDFISH,SHARK,BOTTOM OTTER TRAWL,Apr-97,26,1997
OTHER GROUNDFISH,UNSPECIFIED GROUNDFISH,BOTTOM OTTER TRAWL,Apr-97,313,1997
OTHER GROUNDFISH,IDIOT,LONGLINE,Apr-97,4278,1997
OTHER GROUNDFISH,UNSPECIFIED GROUNDFISH,LONGLINE,Apr-97,2281,1997
PACIFIC COD,PACIFIC COD,BOTTOM OTTER TRAWL,Apr-97,259734,1997
PACIFIC COD,PACIFIC COD,LONGLINE,Apr-97,413,1997
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,BOTTOM OTTER TRAWL,Apr-97,463279,1997
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,LONGLINE,Apr-97,138,1997
POLLOCK,POLLOCK,BOTTOM OTTER TRAWL,Apr-97,11467,1997
POLLOCK,POLLOCK,MIDWATER TRAWL,Apr-97,3318,1997
REDUCTION,REDUCTION,BOTTOM OTTER TRAWL,Apr-97,245,1997
ROCKFISH,GREENIES,BOTTOM OTTER TRAWL,Apr-97,267816,1997
ROCKFISH,OTHER ROCKFISH,BOTTOM OTTER TRAWL,Apr-97,440078,1997
ROCKFISH,RED SNAPPER (YELLOWEYE),BOTTOM OTTER TRAWL,Apr-97,1469,1997
ROCKFISH,REEDI (YELLOWMOUTH),BOTTOM OTTER TRAWL,Apr-97,235595,1997
ROCKFISH,SILVER PERCH,BOTTOM OTTER TRAWL,Apr-97,243,1997
ROCKFISH,GREENIES,LONGLINE,Apr-97,838,1997
ROCKFISH,OTHER ROCKFISH,LONGLINE,Apr-97,184765,1997
ROCKFISH,RED SNAPPER (YELLOWEYE),LONGLINE,Apr-97,75789,1997
ROCKFISH,REEDI (YELLOWMOUTH),LONGLINE,Apr-97,781,1997
ROCKFISH,GREENIES,MIDWATER TRAWL,Apr-97,30103,1997
ROCKFISH,OTHER ROCKFISH,MIDWATER TRAWL,Apr-97,187383,1997
ROCKFISH,RED SNAPPER (YELLOWEYE),MIDWATER TRAWL,Apr-97,1,1997
ROCKFISH,REEDI (YELLOWMOUTH),MIDWATER TRAWL,Apr-97,599,1997
SABLEFISH,SABLEFISH,BOTTOM OTTER TRAWL,Apr-97,14356,1997
SABLEFISH,SABLEFISH,LONGLINE,Apr-97,21743,1997
SABLEFISH,SABLEFISH,TRAP,Apr-97,297336,1997
SALMON,CHINOOK,SALMON GILLNET,Apr-97,359,1997
SKATE,SKATE,BOTTOM OTTER TRAWL,Apr-97,363477,1997
SKATE,SKATE,LONGLINE,Apr-97,21999,1997
SOLE,BRILL SOLE,BOTTOM OTTER TRAWL,Apr-97,21910,1997
SOLE,BUTTER SOLE,BOTTOM OTTER TRAWL,Apr-97,363,1997
SOLE,DOVER/SLIPPERY SOLE,BOTTOM OTTER TRAWL,Apr-97,215940,1997
SOLE,LEMON SOLE,BOTTOM OTTER TRAWL,Apr-97,78582,1997
SOLE,MIXED SOLE,BOTTOM OTTER TRAWL,Apr-97,11764,1997
SOLE,REX/WITCHES SOLE,BOTTOM OTTER TRAWL,Apr-97,18721,1997
SOLE,ROCK SOLE,BOTTOM OTTER TRAWL,Apr-97,97544,1997
SOLE,ROCK SOLE,LONGLINE,Apr-97,128,1997
SOLE,LEMON SOLE,MIDWATER TRAWL,Apr-97,932,1997
SOLE,ROCK SOLE,MIDWATER TRAWL,Apr-97,1827,1997
STURGEON,STURGEON,BOTTOM OTTER TRAWL,Apr-97,351,1997
TURBOT,TURBOT,BOTTOM OTTER TRAWL,Apr-97,366695,1997
TURBOT,TURBOT,LONGLINE,Apr-97,2,1997
DOGFISH,DOGFISH,BOTTOM OTTER TRAWL,May-97,11658,1997
DOGFISH,DOGFISH,LONGLINE,May-97,214565,1997
EULACHON,EULACHON,SET NET,May-97,160,1997
FLOUNDER,FLOUNDER,BOTTOM OTTER TRAWL,May-97,108,1997
FLOUNDER,FLOUNDER,LONGLINE,May-97,4,1997
HAKE,HAKE,BOTTOM OTTER TRAWL,May-97,50965,1997
HAKE,HAKE,MIDWATER TRAWL,May-97,2942794,1997
HALIBUT,HALIBUT,LONGLINE,May-97,1179961,1997
HERRING,BAIT HERRING,HERRING PURSE SEINE,May-97,4668,1997
HERRING,SPAWN ON KELP,OTHER GEAR,May-97,18141,1997
LINGCOD,LINGCOD,BOTTOM OTTER TRAWL,May-97,44990,1997
LINGCOD,LINGCOD,LONGLINE,May-97,145031,1997
OTHER FISH,OTHER FISH,BOTTOM OTTER TRAWL,May-97,2476,1997
OTHER FISH,OTHER FISH,LONGLINE,May-97,189,1997
OTHER GROUNDFISH,IDIOT,BOTTOM OTTER TRAWL,May-97,51579,1997
OTHER GROUNDFISH,UNSPECIFIED GROUNDFISH,BOTTOM OTTER TRAWL,May-97,201,1997
OTHER GROUNDFISH,IDIOT,LONGLINE,May-97,3647,1997
OTHER GROUNDFISH,SHARK,LONGLINE,May-97,6,1997
OTHER GROUNDFISH,UNSPECIFIED GROUNDFISH,LONGLINE,May-97,3530,1997
PACIFIC COD,PACIFIC COD,BOTTOM OTTER TRAWL,May-97,252942,1997
PACIFIC COD,PACIFIC COD,LONGLINE,May-97,720,1997
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,BOTTOM OTTER TRAWL,May-97,975381,1997
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,LONGLINE,May-97,132,1997
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,MIDWATER TRAWL,May-97,2947,1997
POLLOCK,POLLOCK,BOTTOM OTTER TRAWL,May-97,20471,1997
REDUCTION,REDUCTION,BOTTOM OTTER TRAWL,May-97,784,1997
ROCKFISH,GREENIES,BOTTOM OTTER TRAWL,May-97,331712,1997
ROCKFISH,OTHER ROCKFISH,BOTTOM OTTER TRAWL,May-97,406847,1997
ROCKFISH,RED SNAPPER (YELLOWEYE),BOTTOM OTTER TRAWL,May-97,392,1997
ROCKFISH,REEDI (YELLOWMOUTH),BOTTOM OTTER TRAWL,May-97,174999,1997
ROCKFISH,SILVER PERCH,BOTTOM OTTER TRAWL,May-97,3,1997
ROCKFISH,GREENIES,LONGLINE,May-97,841,1997
ROCKFISH,OTHER ROCKFISH,LONGLINE,May-97,248839,1997
ROCKFISH,RED SNAPPER (YELLOWEYE),LONGLINE,May-97,108497,1997
ROCKFISH,REEDI (YELLOWMOUTH),LONGLINE,May-97,2823,1997
ROCKFISH,SILVER PERCH,LONGLINE,May-97,10,1997
ROCKFISH,GREENIES,MIDWATER TRAWL,May-97,111413,1997
ROCKFISH,OTHER ROCKFISH,MIDWATER TRAWL,May-97,104965,1997
ROCKFISH,REEDI (YELLOWMOUTH),MIDWATER TRAWL,May-97,3708,1997
SABLEFISH,SABLEFISH,BOTTOM OTTER TRAWL,May-97,18429,1997
SABLEFISH,SABLEFISH,LONGLINE,May-97,78710,1997
SABLEFISH,SABLEFISH,TRAP,May-97,144579,1997
SALMON,CHINOOK,SALMON GILLNET,May-97,119,1997
SKATE,SKATE,BOTTOM OTTER TRAWL,May-97,75358,1997
SKATE,SKATE,LONGLINE,May-97,22967,1997
SOLE,BRILL SOLE,BOTTOM OTTER TRAWL,May-97,13351,1997
SOLE,BUTTER SOLE,BOTTOM OTTER TRAWL,May-97,482,1997
SOLE,DOVER/SLIPPERY SOLE,BOTTOM OTTER TRAWL,May-97,202893,1997
SOLE,LEMON SOLE,BOTTOM OTTER TRAWL,May-97,52215,1997
SOLE,MIXED SOLE,BOTTOM OTTER TRAWL,May-97,8171,1997
SOLE,REX/WITCHES SOLE,BOTTOM OTTER TRAWL,May-97,29914,1997
SOLE,ROCK SOLE,BOTTOM OTTER TRAWL,May-97,105977,1997
SOLE,BRILL SOLE,LONGLINE,May-97,3,1997
SOLE,ROCK SOLE,LONGLINE,May-97,117,1997
SOLE,LEMON SOLE,MIDWATER TRAWL,May-97,436,1997
SOLE,ROCK SOLE,MIDWATER TRAWL,May-97,793,1997
STURGEON,STURGEON,BOTTOM OTTER TRAWL,May-97,36,1997
TURBOT,TURBOT,BOTTOM OTTER TRAWL,May-97,572955,1997
TURBOT,TURBOT,LONGLINE,May-97,16,1997
DOGFISH,DOGFISH,BOTTOM OTTER TRAWL,Jun-97,60082,1997
DOGFISH,DOGFISH,LONGLINE,Jun-97,233821,1997
FLOUNDER,FLOUNDER,BOTTOM OTTER TRAWL,Jun-97,782,1997
FLOUNDER,FLOUNDER,LONGLINE,Jun-97,4,1997
HAKE,HAKE,BOTTOM OTTER TRAWL,Jun-97,17,1997
HAKE,HAKE,MIDWATER TRAWL,Jun-97,7228047,1997
HALIBUT,HALIBUT,LONGLINE,Jun-97,1120691,1997
HERRING,UNSPECIFIED HERRING,BOTTOM OTTER TRAWL,Jun-97,29,1997
HERRING,BAIT HERRING,DIP NET,Jun-97,141,1997
HERRING,BAIT HERRING,HERRING PURSE SEINE,Jun-97,5026,1997
LINGCOD,LINGCOD,BOTTOM OTTER TRAWL,Jun-97,98437,1997
LINGCOD,LINGCOD,LONGLINE,Jun-97,99893,1997
LINGCOD,LINGCOD,MIDWATER TRAWL,Jun-97,185,1997
LINGCOD,LINGCOD,SALMON FREEZER TROLL,Jun-97,13,1997
LINGCOD,LINGCOD,SALMON GILLNET,Jun-97,4,1997
MACKEREL,MACKEREL,BOTTOM OTTER TRAWL,Jun-97,614,1997
MACKEREL,MACKEREL,SALMON SEINE,Jun-97,249,1997
OTHER FISH,OTHER FISH,BOTTOM OTTER TRAWL,Jun-97,1007,1997
OTHER FISH,OTHER FISH,LONGLINE,Jun-97,151,1997
OTHER FISH,OTHER FISH,SALMON SEINE,Jun-97,4536,1997
OTHER GROUNDFISH,IDIOT,BOTTOM OTTER TRAWL,Jun-97,59688,1997
OTHER GROUNDFISH,UNSPECIFIED GROUNDFISH,BOTTOM OTTER TRAWL,Jun-97,259,1997
OTHER GROUNDFISH,IDIOT,LONGLINE,Jun-97,2539,1997
OTHER GROUNDFISH,SHARK,LONGLINE,Jun-97,9,1997
OTHER GROUNDFISH,UNSPECIFIED GROUNDFISH,LONGLINE,Jun-97,3652,1997
PACIFIC COD,PACIFIC COD,BOTTOM OTTER TRAWL,Jun-97,187844,1997
PACIFIC COD,PACIFIC COD,LONGLINE,Jun-97,292,1997
PACIFIC COD,PACIFIC COD,MIDWATER TRAWL,Jun-97,68,1997
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,BOTTOM OTTER TRAWL,Jun-97,809775,1997
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,LONGLINE,Jun-97,153,1997
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,MIDWATER TRAWL,Jun-97,17282,1997
POLLOCK,POLLOCK,BOTTOM OTTER TRAWL,Jun-97,38854,1997
POLLOCK,POLLOCK,MIDWATER TRAWL,Jun-97,19,1997
REDUCTION,REDUCTION,BOTTOM OTTER TRAWL,Jun-97,1388,1997
ROCKFISH,SILVER PERCH,BEACH SEINE,Jun-97,5,1997
ROCKFISH,GREENIES,BOTTOM OTTER TRAWL,Jun-97,157980,1997
ROCKFISH,OTHER ROCKFISH,BOTTOM OTTER TRAWL,Jun-97,302100,1997
ROCKFISH,RED SNAPPER (YELLOWEYE),BOTTOM OTTER TRAWL,Jun-97,430,1997
ROCKFISH,REEDI (YELLOWMOUTH),BOTTOM OTTER TRAWL,Jun-97,199581,1997
ROCKFISH,GREENIES,LONGLINE,Jun-97,1027,1997
ROCKFISH,OTHER ROCKFISH,LONGLINE,Jun-97,204561,1997
ROCKFISH,RED SNAPPER (YELLOWEYE),LONGLINE,Jun-97,78233,1997
ROCKFISH,REEDI (YELLOWMOUTH),LONGLINE,Jun-97,2813,1997
ROCKFISH,GREENIES,MIDWATER TRAWL,Jun-97,68039,1997
ROCKFISH,OTHER ROCKFISH,MIDWATER TRAWL,Jun-97,18859,1997
ROCKFISH,REEDI (YELLOWMOUTH),MIDWATER TRAWL,Jun-97,4263,1997
SABLEFISH,SABLEFISH,BOTTOM OTTER TRAWL,Jun-97,22770,1997
SABLEFISH,SABLEFISH,LONGLINE,Jun-97,58972,1997
SABLEFISH,SABLEFISH,MIDWATER TRAWL,Jun-97,2,1997
SABLEFISH,SABLEFISH,TRAP,Jun-97,226501,1997
SALMON,CHINOOK,SALMON GILLNET,Jun-97,140947,1997
SALMON,CHUM,SALMON GILLNET,Jun-97,105265,1997
SALMON,COHO,SALMON GILLNET,Jun-97,10936,1997
SALMON,PINK,SALMON GILLNET,Jun-97,6238,1997
SALMON,SOCKEYE,SALMON GILLNET,Jun-97,547996,1997
SALMON,STEELHEAD,SALMON GILLNET,Jun-97,186,1997
SALMON,CHUM,SALMON SEINE,Jun-97,9,1997
SALMON,SOCKEYE,SALMON SEINE,Jun-97,5014,1997
SALMON,CHINOOK,SALMON TROLL,Jun-97,152675,1997
SALMON,CHUM,SALMON TROLL,Jun-97,623,1997
SALMON,COHO,SALMON TROLL,Jun-97,547,1997
SALMON,PINK,SALMON TROLL,Jun-97,362,1997
SALMON,SOCKEYE,SALMON TROLL,Jun-97,318,1997
SKATE,SKATE,BOTTOM OTTER TRAWL,Jun-97,88934,1997
SKATE,SKATE,LONGLINE,Jun-97,12381,1997
SMELT,SMELT,SET NET,Jun-97,7,1997
SOLE,BRILL SOLE,BOTTOM OTTER TRAWL,Jun-97,12432,1997
SOLE,BUTTER SOLE,BOTTOM OTTER TRAWL,Jun-97,2539,1997
SOLE,DOVER/SLIPPERY SOLE,BOTTOM OTTER TRAWL,Jun-97,185376,1997
SOLE,LEMON SOLE,BOTTOM OTTER TRAWL,Jun-97,61726,1997
SOLE,MIXED SOLE,BOTTOM OTTER TRAWL,Jun-97,6836,1997
SOLE,REX/WITCHES SOLE,BOTTOM OTTER TRAWL,Jun-97,21835,1997
SOLE,ROCK SOLE,BOTTOM OTTER TRAWL,Jun-97,163493,1997
SOLE,BRILL SOLE,LONGLINE,Jun-97,16,1997
SOLE,DOVER/SLIPPERY SOLE,LONGLINE,Jun-97,4,1997
SOLE,MIXED SOLE,LONGLINE,Jun-97,3,1997
SOLE,ROCK SOLE,LONGLINE,Jun-97,93,1997
SOLE,DOVER/SLIPPERY SOLE,MIDWATER TRAWL,Jun-97,485,1997
SOLE,LEMON SOLE,MIDWATER TRAWL,Jun-97,329,1997
SOLE,REX/WITCHES SOLE,MIDWATER TRAWL,Jun-97,321,1997
SOLE,ROCK SOLE,MIDWATER TRAWL,Jun-97,510,1997
TURBOT,TURBOT,BOTTOM OTTER TRAWL,Jun-97,588165,1997
TURBOT,TURBOT,LONGLINE,Jun-97,29,1997
TURBOT,TURBOT,MIDWATER TRAWL,Jun-97,35,1997
DOGFISH,DOGFISH,BOTTOM OTTER TRAWL,Jul-97,38879,1997
DOGFISH,DOGFISH,LONGLINE,Jul-97,276145,1997
DOGFISH,DOGFISH,MIDWATER TRAWL,Jul-97,232,1997
DOGFISH,DOGFISH,SALMON FREEZER TROLL,Jul-97,7,1997
FLOUNDER,FLOUNDER,BOTTOM OTTER TRAWL,Jul-97,2878,1997
FLOUNDER,FLOUNDER,LONGLINE,Jul-97,36,1997
HAKE,HAKE,BOTTOM OTTER TRAWL,Jul-97,174148,1997
HAKE,HAKE,MIDWATER TRAWL,Jul-97,9414289,1997
HALIBUT,HALIBUT,LONGLINE,Jul-97,1098195,1997
HERRING,UNSPECIFIED HERRING,BOTTOM OTTER TRAWL,Jul-97,204,1997
HERRING,BAIT HERRING,DIP NET,Jul-97,272,1997
HERRING,BAIT HERRING,HERRING PURSE SEINE,Jul-97,12689,1997
LINGCOD,LINGCOD,BOTTOM OTTER TRAWL,Jul-97,148283,1997
LINGCOD,LINGCOD,LONGLINE,Jul-97,91302,1997
LINGCOD,LINGCOD,MIDWATER TRAWL,Jul-97,996,1997
LINGCOD,LINGCOD,SALMON FREEZER TROLL,Jul-97,6585,1997
LINGCOD,LINGCOD,SALMON GILLNET,Jul-97,46,1997
LINGCOD,LINGCOD,SALMON TROLL,Jul-97,5166,1997
MACKEREL,MACKEREL,BOTTOM OTTER TRAWL,Jul-97,8615,1997
MACKEREL,MACKEREL,SALMON FREEZER TROLL,Jul-97,431,1997
OTHER FISH,HAGFISH,BOTTOM OTTER TRAWL,Jul-97,18,1997
OTHER FISH,OTHER FISH,BOTTOM OTTER TRAWL,Jul-97,2674,1997
OTHER FISH,OTHER FISH,LONGLINE,Jul-97,3312,1997
OTHER GROUNDFISH,IDIOT,BOTTOM OTTER TRAWL,Jul-97,55001,1997
OTHER GROUNDFISH,SHARK,BOTTOM OTTER TRAWL,Jul-97,20,1997
OTHER GROUNDFISH,UNSPECIFIED GROUNDFISH,BOTTOM OTTER TRAWL,Jul-97,138,1997
OTHER GROUNDFISH,IDIOT,LONGLINE,Jul-97,2731,1997
OTHER GROUNDFISH,SHARK,LONGLINE,Jul-97,108,1997
OTHER GROUNDFISH,UNSPECIFIED GROUNDFISH,LONGLINE,Jul-97,5846,1997
PACIFIC COD,PACIFIC COD,BOTTOM OTTER TRAWL,Jul-97,168830,1997
PACIFIC COD,PACIFIC COD,LONGLINE,Jul-97,522,1997
PACIFIC COD,PACIFIC COD,SALMON TROLL,Jul-97,7,1997
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,BOTTOM OTTER TRAWL,Jul-97,523639,1997
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,LONGLINE,Jul-97,49,1997
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,MIDWATER TRAWL,Jul-97,5822,1997
POLLOCK,POLLOCK,BOTTOM OTTER TRAWL,Jul-97,45710,1997
POLLOCK,POLLOCK,SALMON FREEZER TROLL,Jul-97,15,1997
REDUCTION,REDUCTION,BOTTOM OTTER TRAWL,Jul-97,1944,1997
REDUCTION,REDUCTION,LONGLINE,Jul-97,7473,1997
ROCKFISH,SILVER PERCH,BEACH SEINE,Jul-97,15,1997
ROCKFISH,GREENIES,BOTTOM OTTER TRAWL,Jul-97,119016,1997
ROCKFISH,OTHER ROCKFISH,BOTTOM OTTER TRAWL,Jul-97,364778,1997
ROCKFISH,RED SNAPPER (YELLOWEYE),BOTTOM OTTER TRAWL,Jul-97,1399,1997
ROCKFISH,REEDI (YELLOWMOUTH),BOTTOM OTTER TRAWL,Jul-97,246605,1997
ROCKFISH,GREENIES,LONGLINE,Jul-97,1662,1997
ROCKFISH,OTHER ROCKFISH,LONGLINE,Jul-97,236863,1997
ROCKFISH,RED SNAPPER (YELLOWEYE),LONGLINE,Jul-97,118573,1997
ROCKFISH,REEDI (YELLOWMOUTH),LONGLINE,Jul-97,411,1997
ROCKFISH,GREENIES,MIDWATER TRAWL,Jul-97,93327,1997
ROCKFISH,OTHER ROCKFISH,MIDWATER TRAWL,Jul-97,62369,1997
ROCKFISH,REEDI (YELLOWMOUTH),MIDWATER TRAWL,Jul-97,18855,1997
ROCKFISH,GREENIES,SALMON FREEZER TROLL,Jul-97,1194,1997
ROCKFISH,OTHER ROCKFISH,SALMON FREEZER TROLL,Jul-97,1622,1997
ROCKFISH,RED SNAPPER (YELLOWEYE),SALMON FREEZER TROLL,Jul-97,245,1997
ROCKFISH,OTHER ROCKFISH,SALMON GILLNET,Jul-97,31,1997
ROCKFISH,GREENIES,SALMON TROLL,Jul-97,795,1997
ROCKFISH,OTHER ROCKFISH,SALMON TROLL,Jul-97,1268,1997
ROCKFISH,RED SNAPPER (YELLOWEYE),SALMON TROLL,Jul-97,104,1997
SABLEFISH,SABLEFISH,BOTTOM OTTER TRAWL,Jul-97,16774,1997
SABLEFISH,SABLEFISH,LONGLINE,Jul-97,8924,1997
SABLEFISH,SABLEFISH,TRAP,Jul-97,200168,1997
SALMON,CHINOOK,SALMON GILLNET,Jul-97,96275,1997
SALMON,CHUM,SALMON GILLNET,Jul-97,673158,1997
SALMON,COHO,SALMON GILLNET,Jul-97,85063,1997
SALMON,PINK,SALMON GILLNET,Jul-97,720278,1997
SALMON,SOCKEYE,SALMON GILLNET,Jul-97,4447524,1997
SALMON,STEELHEAD,SALMON GILLNET,Jul-97,383,1997
SALMON,CHINOOK,SALMON SEINE,Jul-97,15817,1997
SALMON,CHUM,SALMON SEINE,Jul-97,576079,1997
SALMON,COHO,SALMON SEINE,Jul-97,5744,1997
SALMON,PINK,SALMON SEINE,Jul-97,2039267,1997
SALMON,SOCKEYE,SALMON SEINE,Jul-97,2038619,1997
SALMON,STEELHEAD,SALMON SEINE,Jul-97,20,1997
SALMON,CHINOOK,SALMON TROLL,Jul-97,659208,1997
SALMON,CHUM,SALMON TROLL,Jul-97,122318,1997
SALMON,COHO,SALMON TROLL,Jul-97,201069,1997
SALMON,PINK,SALMON TROLL,Jul-97,365066,1997
SALMON,SOCKEYE,SALMON TROLL,Jul-97,500550,1997
SALMON,STEELHEAD,SALMON TROLL,Jul-97,14,1997
SKATE,SKATE,BOTTOM OTTER TRAWL,Jul-97,59848,1997
SKATE,SKATE,LONGLINE,Jul-97,11943,1997
SKATE,SKATE,SALMON FREEZER TROLL,Jul-97,33,1997
SOLE,BRILL SOLE,BOTTOM OTTER TRAWL,Jul-97,14270,1997
SOLE,BUTTER SOLE,BOTTOM OTTER TRAWL,Jul-97,2728,1997
SOLE,DOVER/SLIPPERY SOLE,BOTTOM OTTER TRAWL,Jul-97,169251,1997
SOLE,LEMON SOLE,BOTTOM OTTER TRAWL,Jul-97,47740,1997
SOLE,MIXED SOLE,BOTTOM OTTER TRAWL,Jul-97,5178,1997
SOLE,REX/WITCHES SOLE,BOTTOM OTTER TRAWL,Jul-97,14154,1997
SOLE,ROCK SOLE,BOTTOM OTTER TRAWL,Jul-97,122074,1997
SOLE,BRILL SOLE,LONGLINE,Jul-97,5,1997
SOLE,DOVER/SLIPPERY SOLE,LONGLINE,Jul-97,15,1997
SOLE,LEMON SOLE,LONGLINE,Jul-97,1,1997
SOLE,ROCK SOLE,LONGLINE,Jul-97,144,1997
SOLE,BRILL SOLE,MIDWATER TRAWL,Jul-97,102,1997
STURGEON,STURGEON,SALMON GILLNET,Jul-97,10,1997
TUNA,TUNA,NON-SALMON HAND JIG,Jul-97,7068,1997
TUNA,TUNA,SALMON TROLL,Jul-97,578,1997
TURBOT,TURBOT,BOTTOM OTTER TRAWL,Jul-97,223965,1997
TURBOT,TURBOT,LONGLINE,Jul-97,95,1997
TURBOT,TURBOT,MIDWATER TRAWL,Jul-97,627,1997
DOGFISH,DOGFISH,BOTTOM OTTER TRAWL,Aug-97,16448,1997
DOGFISH,DOGFISH,LONGLINE,Aug-97,76805,1997
FLOUNDER,FLOUNDER,BOTTOM OTTER TRAWL,Aug-97,396,1997
