WEEK,GEAR,SPECIES,VALUE,WEEKSTART,DFOWEEKNUM,YEAR,MONTH,
071 JUN 27 - JUL 03,Gillnet,Sockeye,1225787,6/27/2004,71,2004,6,
071 JUN 26 - JUL 02,Gillnet,Sockeye,553096,6/26/2005,71,2005,6,
071 JUL 02 - JUL 08,Gillnet,Sockeye,815376,7/2/2006,71,2006,7,
071 JUL 01 - JUL 07,Gillnet,Sockeye,471589,7/1/2007,71,2007,7,
071 JUN 29 - JUL 05,Gillnet,Sockeye,214730,6/29/2008,71,2008,6,
071 JUN 28 - JUL 04,Gillnet,Sockeye,439702,6/28/2009,71,2009,6,
071 JUN 27 - JUL 03,Gillnet,Sockeye,250058,6/27/2010,71,2010,6,
071 JUN 26 - JUL 02,Gillnet,Sockeye,218533,6/26/2011,71,2011,6,
071 JUL 01 - JUL 07,Gillnet,Sockeye,912587,7/1/2012,71,2012,7,
071 JUN 30 - JUL 06,Seine,Sockeye,13856,6/30/1996,71,1996,6,
071 JUN 29 - JUL 05,Seine,Sockeye,4246,6/29/1997,71,1997,6,
071 JUN 28 - JUL 04,Seine,Sockeye,33952,6/28/1998,71,1998,6,
071 JUN 27 - JUL 03,Seine,Sockeye,30585,6/27/1999,71,1999,6,
071 JUN 25 - JUL 01,Seine,Sockeye,5006,6/25/2000,71,2000,6,
071 JUL 01 - JUL 07,Seine,Sockeye,16353,7/1/2001,71,2001,7,
071 JUN 30 - JUL 06,Seine,Sockeye,351615,6/30/2002,71,2002,6,
071 JUN 29 - JUL 05,Seine,Sockeye,414279,6/29/2003,71,2003,6,
071 JUN 27 - JUL 03,Seine,Sockeye,130147,6/27/2004,71,2004,6,
071 JUN 26 - JUL 02,Seine,Sockeye,21239,6/26/2005,71,2005,6,
071 JUL 01 - JUL 07,Seine,Sockeye,608,7/1/2007,71,2007,7,
071 JUN 27 - JUL 03,Seine,Sockeye,127125,6/27/2010,71,2010,6,
071 JUN 26 - JUL 02,Seine,Sockeye,137458,6/26/2011,71,2011,6,
071 JUL 01 - JUL 07,Seine,Sockeye,144580,7/1/2012,71,2012,7,
071 JUN 29 - JUL 05,Troll,Sockeye,2273,6/29/1997,71,1997,6,
071 JUN 28 - JUL 04,Troll,Sockeye,4279,6/28/1998,71,1998,6,
071 JUN 25 - JUL 01,Troll,Sockeye,12205,6/25/2000,71,2000,6,
071 JUL 01 - JUL 07,Troll,Sockeye,65723,7/1/2001,71,2001,7,
071 JUL 01 - JUL 07,Troll,Sockeye,435,7/1/2012,71,2012,7,
071 JUN 30 - JUL 06,Gillnet,Steelhead,207,6/30/1996,71,1996,6,
071 JUN 29 - JUL 05,Gillnet,Steelhead,177,6/29/1997,71,1997,6,
071 JUN 28 - JUL 04,Gillnet,Steelhead,70,6/28/1998,71,1998,6,
071 JUN 27 - JUL 03,Gillnet,Steelhead,46,6/27/1999,71,1999,6,
071 JUN 25 - JUL 01,Gillnet,Steelhead,59,6/25/2000,71,2000,6,
071 JUL 01 - JUL 07,Gillnet,Steelhead,14,7/1/2001,71,2001,7,
071 JUN 29 - JUL 05,Gillnet,Steelhead,28,6/29/2003,71,2003,6,
071 JUL 02 - JUL 08,Gillnet,Steelhead,29,7/2/2006,71,2006,7,
071 JUN 28 - JUL 04,Gillnet,Steelhead,8,6/28/2009,71,2009,6,
072 JUL 07 - JUL 13,Gillnet,Chinook,246267,7/7/1996,72,1996,7,
072 JUL 06 - JUL 12,Gillnet,Chinook,113850,7/6/1997,72,1997,7,
072 JUL 05 - JUL 11,Gillnet,Chinook,77530,7/5/1998,72,1998,7,
072 JUL 04 - JUL 10,Gillnet,Chinook,103761,7/4/1999,72,1999,7,
072 JUL 02 - JUL 08,Gillnet,Chinook,251483,7/2/2000,72,2000,7,
072 JUL 08 - JUL 14,Gillnet,Chinook,235128,7/8/2001,72,2001,7,
072 JUL 07 - JUL 13,Gillnet,Chinook,116172,7/7/2002,72,2002,7,
072 JUL 06 - JUL 12,Gillnet,Chinook,65520,7/6/2003,72,2003,7,
072 JUL 04 - JUL 10,Gillnet,Chinook,106726,7/4/2004,72,2004,7,
072 JUL 03 - JUL 09,Gillnet,Chinook,95960,7/3/2005,72,2005,7,
072 JUL 09 - JUL 15,Gillnet,Chinook,174577,7/9/2006,72,2006,7,
072 JUL 08 - JUL 14,Gillnet,Chinook,120244,7/8/2007,72,2007,7,
072 JUL 06 - JUL 12,Gillnet,Chinook,236923,7/6/2008,72,2008,7,
072 JUL 05 - JUL 11,Gillnet,Chinook,83895,7/5/2009,72,2009,7,
072 JUL 04 - JUL 10,Gillnet,Chinook,54079,7/4/2010,72,2010,7,
072 JUL 03 - JUL 09,Gillnet,Chinook,133453,7/3/2011,72,2011,7,
072 JUL 08 - JUL 14,Gillnet,Chinook,54427,7/8/2012,72,2012,7,
072 JUL 07 - JUL 13,Seine,Chinook,9636,7/7/1996,72,1996,7,
072 JUL 08 - JUL 14,Seine,Chinook,1,7/8/2007,72,2007,7,
072 JUL 06 - JUL 12,Troll,Chinook,438882,7/6/1997,72,1997,7,
072 JUL 05 - JUL 11,Troll,Chinook,17,7/5/1998,72,1998,7,
072 JUL 04 - JUL 10,Troll,Chinook,1899,7/4/1999,72,1999,7,
072 JUL 08 - JUL 14,Troll,Chinook,7777,7/8/2001,72,2001,7,
072 JUL 07 - JUL 13,Troll,Chinook,15169,7/7/2002,72,2002,7,
072 JUL 06 - JUL 12,Troll,Chinook,665835,7/6/2003,72,2003,7,
072 JUL 04 - JUL 10,Troll,Chinook,1598559,7/4/2004,72,2004,7,
072 JUL 03 - JUL 09,Troll,Chinook,1108099,7/3/2005,72,2005,7,
072 JUL 09 - JUL 15,Troll,Chinook,1383499,7/9/2006,72,2006,7,
072 JUL 08 - JUL 14,Troll,Chinook,610353,7/8/2007,72,2007,7,
072 JUL 06 - JUL 12,Troll,Chinook,616344,7/6/2008,72,2008,7,
072 JUL 05 - JUL 11,Troll,Chinook,648092,7/5/2009,72,2009,7,
072 JUL 04 - JUL 10,Troll,Chinook,1034155,7/4/2010,72,2010,7,
072 JUL 08 - JUL 14,Troll,Chinook,1333657,7/8/2012,72,2012,7,
072 JUL 07 - JUL 13,Gillnet,Chum,321153,7/7/1996,72,1996,7,
072 JUL 06 - JUL 12,Gillnet,Chum,132173,7/6/1997,72,1997,7,
072 JUL 05 - JUL 11,Gillnet,Chum,148354,7/5/1998,72,1998,7,
072 JUL 04 - JUL 10,Gillnet,Chum,78784,7/4/1999,72,1999,7,
072 JUL 02 - JUL 08,Gillnet,Chum,92312,7/2/2000,72,2000,7,
072 JUL 08 - JUL 14,Gillnet,Chum,138876,7/8/2001,72,2001,7,
072 JUL 07 - JUL 13,Gillnet,Chum,86650,7/7/2002,72,2002,7,
072 JUL 06 - JUL 12,Gillnet,Chum,36839,7/6/2003,72,2003,7,
072 JUL 04 - JUL 10,Gillnet,Chum,89157,7/4/2004,72,2004,7,
072 JUL 03 - JUL 09,Gillnet,Chum,127826,7/3/2005,72,2005,7,
072 JUL 09 - JUL 15,Gillnet,Chum,140138,7/9/2006,72,2006,7,
072 JUL 08 - JUL 14,Gillnet,Chum,183680,7/8/2007,72,2007,7,
072 JUL 06 - JUL 12,Gillnet,Chum,44621,7/6/2008,72,2008,7,
072 JUL 05 - JUL 11,Gillnet,Chum,110786,7/5/2009,72,2009,7,
072 JUL 04 - JUL 10,Gillnet,Chum,97602,7/4/2010,72,2010,7,
072 JUL 03 - JUL 09,Gillnet,Chum,5359,7/3/2011,72,2011,7,
072 JUL 08 - JUL 14,Gillnet,Chum,101683,7/8/2012,72,2012,7,
072 JUL 07 - JUL 13,Seine,Chum,116814,7/7/1996,72,1996,7,
072 JUL 08 - JUL 14,Seine,Chum,38942,7/8/2012,72,2012,7,
072 JUL 07 - JUL 13,Troll,Chum,1992,7/7/1996,72,1996,7,
072 JUL 06 - JUL 12,Troll,Chum,4715,7/6/1997,72,1997,7,
072 JUL 08 - JUL 14,Troll,Chum,755,7/8/2001,72,2001,7,
072 JUL 06 - JUL 12,Troll,Chum,70,7/6/2003,72,2003,7,
072 JUL 04 - JUL 10,Troll,Chum,25,7/4/2004,72,2004,7,
072 JUL 03 - JUL 09,Troll,Chum,71,7/3/2005,72,2005,7,
072 JUL 08 - JUL 14,Troll,Chum,17,7/8/2007,72,2007,7,
072 JUL 05 - JUL 11,Troll,Chum,100,7/5/2009,72,2009,7,
072 JUL 08 - JUL 14,Troll,Chum,108,7/8/2012,72,2012,7,
072 JUL 07 - JUL 13,Gillnet,Coho,74644,7/7/1996,72,1996,7,
072 JUL 06 - JUL 12,Gillnet,Coho,43375,7/6/1997,72,1997,7,
072 JUL 05 - JUL 11,Gillnet,Coho,265,7/5/1998,72,1998,7,
072 JUL 04 - JUL 10,Gillnet,Coho,90,7/4/1999,72,1999,7,
072 JUL 08 - JUL 14,Gillnet,Coho,226,7/8/2001,72,2001,7,
072 JUL 07 - JUL 13,Gillnet,Coho,195,7/7/2002,72,2002,7,
072 JUL 06 - JUL 12,Gillnet,Coho,227,7/6/2003,72,2003,7,
072 JUL 04 - JUL 10,Gillnet,Coho,609,7/4/2004,72,2004,7,
072 JUL 03 - JUL 09,Gillnet,Coho,213,7/3/2005,72,2005,7,
072 JUL 09 - JUL 15,Gillnet,Coho,1367,7/9/2006,72,2006,7,
072 JUL 08 - JUL 14,Gillnet,Coho,19861,7/8/2007,72,2007,7,
072 JUL 06 - JUL 12,Gillnet,Coho,404,7/6/2008,72,2008,7,
072 JUL 05 - JUL 11,Gillnet,Coho,429,7/5/2009,72,2009,7,
072 JUL 04 - JUL 10,Gillnet,Coho,631,7/4/2010,72,2010,7,
072 JUL 03 - JUL 09,Gillnet,Coho,489,7/3/2011,72,2011,7,
072 JUL 08 - JUL 14,Gillnet,Coho,457,7/8/2012,72,2012,7,
072 JUL 07 - JUL 13,Seine,Coho,26936,7/7/1996,72,1996,7,
072 JUL 07 - JUL 13,Troll,Coho,47960,7/7/1996,72,1996,7,
072 JUL 06 - JUL 12,Troll,Coho,40621,7/6/1997,72,1997,7,
072 JUL 07 - JUL 13,Troll,Coho,677,7/7/2002,72,2002,7,
072 JUL 08 - JUL 14,Troll,Coho,3299,7/8/2007,72,2007,7,
072 JUL 06 - JUL 12,Troll,Coho,931,7/6/2008,72,2008,7,
072 JUL 05 - JUL 11,Troll,Coho,359,7/5/2009,72,2009,7,
072 JUL 04 - JUL 10,Troll,Coho,12551,7/4/2010,72,2010,7,
072 JUL 03 - JUL 09,Troll,Coho,51473,7/3/2011,72,2011,7,
072 JUL 08 - JUL 14,Troll,Coho,17059,7/8/2012,72,2012,7,
072 JUL 07 - JUL 13,Gillnet,Pink,42403,7/7/1996,72,1996,7,
072 JUL 06 - JUL 12,Gillnet,Pink,23580,7/6/1997,72,1997,7,
072 JUL 05 - JUL 11,Gillnet,Pink,9409,7/5/1998,72,1998,7,
072 JUL 04 - JUL 10,Gillnet,Pink,10754,7/4/1999,72,1999,7,
072 JUL 02 - JUL 08,Gillnet,Pink,17557,7/2/2000,72,2000,7,
072 JUL 08 - JUL 14,Gillnet,Pink,10092,7/8/2001,72,2001,7,
072 JUL 07 - JUL 13,Gillnet,Pink,11246,7/7/2002,72,2002,7,
072 JUL 06 - JUL 12,Gillnet,Pink,31759,7/6/2003,72,2003,7,
072 JUL 04 - JUL 10,Gillnet,Pink,9190,7/4/2004,72,2004,7,
072 JUL 03 - JUL 09,Gillnet,Pink,16324,7/3/2005,72,2005,7,
072 JUL 09 - JUL 15,Gillnet,Pink,8602,7/9/2006,72,2006,7,
072 JUL 08 - JUL 14,Gillnet,Pink,7880,7/8/2007,72,2007,7,
072 JUL 06 - JUL 12,Gillnet,Pink,521,7/6/2008,72,2008,7,
072 JUL 05 - JUL 11,Gillnet,Pink,11041,7/5/2009,72,2009,7,
072 JUL 04 - JUL 10,Gillnet,Pink,4071,7/4/2010,72,2010,7,
072 JUL 03 - JUL 09,Gillnet,Pink,9926,7/3/2011,72,2011,7,
072 JUL 08 - JUL 14,Gillnet,Pink,5705,7/8/2012,72,2012,7,
072 JUL 07 - JUL 13,Seine,Pink,45245,7/7/1996,72,1996,7,
072 JUL 03 - JUL 09,Seine,Pink,1148,7/3/2011,72,2011,7,
072 JUL 08 - JUL 14,Seine,Pink,2902,7/8/2012,72,2012,7,
072 JUL 07 - JUL 13,Troll,Pink,3611,7/7/1996,72,1996,7,
072 JUL 06 - JUL 12,Troll,Pink,3268,7/6/1997,72,1997,7,
072 JUL 08 - JUL 14,Troll,Pink,2555,7/8/2001,72,2001,7,
072 JUL 06 - JUL 12,Troll,Pink,11397,7/6/2003,72,2003,7,
072 JUL 04 - JUL 10,Troll,Pink,1262,7/4/2004,72,2004,7,
072 JUL 03 - JUL 09,Troll,Pink,2200,7/3/2005,72,2005,7,
072 JUL 09 - JUL 15,Troll,Pink,1067,7/9/2006,72,2006,7,
072 JUL 08 - JUL 14,Troll,Pink,2168,7/8/2007,72,2007,7,
072 JUL 06 - JUL 12,Troll,Pink,3984,7/6/2008,72,2008,7,
072 JUL 05 - JUL 11,Troll,Pink,7662,7/5/2009,72,2009,7,
072 JUL 04 - JUL 10,Troll,Pink,4339,7/4/2010,72,2010,7,
072 JUL 03 - JUL 09,Troll,Pink,1157,7/3/2011,72,2011,7,
072 JUL 08 - JUL 14,Troll,Pink,26078,7/8/2012,72,2012,7,
072 JUL 07 - JUL 13,Gillnet,Sockeye,7303889,7/7/1996,72,1996,7,
072 JUL 06 - JUL 12,Gillnet,Sockeye,4304648,7/6/1997,72,1997,7,
072 JUL 05 - JUL 11,Gillnet,Sockeye,1617432,7/5/1998,72,1998,7,
072 JUL 04 - JUL 10,Gillnet,Sockeye,1991269,7/4/1999,72,1999,7,
072 JUL 02 - JUL 08,Gillnet,Sockeye,3266381,7/2/2000,72,2000,7,
072 JUL 08 - JUL 14,Gillnet,Sockeye,2078575,7/8/2001,72,2001,7,
072 JUL 07 - JUL 13,Gillnet,Sockeye,2909992,7/7/2002,72,2002,7,
072 JUL 06 - JUL 12,Gillnet,Sockeye,1633366,7/6/2003,72,2003,7,
072 JUL 04 - JUL 10,Gillnet,Sockeye,1299116,7/4/2004,72,2004,7,
072 JUL 03 - JUL 09,Gillnet,Sockeye,358052,7/3/2005,72,2005,7,
072 JUL 09 - JUL 15,Gillnet,Sockeye,1238494,7/9/2006,72,2006,7,
072 JUL 08 - JUL 14,Gillnet,Sockeye,314880,7/8/2007,72,2007,7,
072 JUL 06 - JUL 12,Gillnet,Sockeye,135753,7/6/2008,72,2008,7,
072 JUL 05 - JUL 11,Gillnet,Sockeye,341702,7/5/2009,72,2009,7,
072 JUL 04 - JUL 10,Gillnet,Sockeye,297046,7/4/2010,72,2010,7,
072 JUL 03 - JUL 09,Gillnet,Sockeye,1128628,7/3/2011,72,2011,7,
072 JUL 08 - JUL 14,Gillnet,Sockeye,1674923,7/8/2012,72,2012,7,
072 JUL 07 - JUL 13,Seine,Sockeye,1217957,7/7/1996,72,1996,7,
072 JUL 05 - JUL 11,Seine,Sockeye,91069,7/5/1998,72,1998,7,
072 JUL 04 - JUL 10,Seine,Sockeye,9995,7/4/1999,72,1999,7,
072 JUL 02 - JUL 08,Seine,Sockeye,31559,7/2/2000,72,2000,7,
072 JUL 07 - JUL 13,Seine,Sockeye,296923,7/7/2002,72,2002,7,
072 JUL 06 - JUL 12,Seine,Sockeye,272537,7/6/2003,72,2003,7,
072 JUL 04 - JUL 10,Seine,Sockeye,153596,7/4/2004,72,2004,7,
072 JUL 03 - JUL 09,Seine,Sockeye,3633,7/3/2005,72,2005,7,
072 JUL 09 - JUL 15,Seine,Sockeye,631,7/9/2006,72,2006,7,
072 JUL 08 - JUL 14,Seine,Sockeye,608,7/8/2007,72,2007,7,
072 JUL 04 - JUL 10,Seine,Sockeye,86789,7/4/2010,72,2010,7,
072 JUL 03 - JUL 09,Seine,Sockeye,744253,7/3/2011,72,2011,7,
072 JUL 08 - JUL 14,Seine,Sockeye,85069,7/8/2012,72,2012,7,
072 JUL 07 - JUL 13,Troll,Sockeye,2434,7/7/1996,72,1996,7,
072 JUL 06 - JUL 12,Troll,Sockeye,133558,7/6/1997,72,1997,7,
072 JUL 05 - JUL 11,Troll,Sockeye,37843,7/5/1998,72,1998,7,
072 JUL 04 - JUL 10,Troll,Sockeye,40380,7/4/1999,72,1999,7,
072 JUL 08 - JUL 14,Troll,Sockeye,2047,7/8/2001,72,2001,7,
072 JUL 07 - JUL 13,Troll,Sockeye,121579,7/7/2002,72,2002,7,
072 JUL 06 - JUL 12,Troll,Sockeye,776,7/6/2003,72,2003,7,
072 JUL 08 - JUL 14,Troll,Sockeye,50,7/8/2007,72,2007,7,
072 JUL 03 - JUL 09,Troll,Sockeye,87,7/3/2011,72,2011,7,
072 JUL 08 - JUL 14,Troll,Sockeye,625,7/8/2012,72,2012,7,
072 JUL 07 - JUL 13,Gillnet,Steelhead,287,7/7/1996,72,1996,7,
072 JUL 06 - JUL 12,Gillnet,Steelhead,40,7/6/1997,72,1997,7,
072 JUL 05 - JUL 11,Gillnet,Steelhead,215,7/5/1998,72,1998,7,
072 JUL 04 - JUL 10,Gillnet,Steelhead,39,7/4/1999,72,1999,7,
072 JUL 02 - JUL 08,Gillnet,Steelhead,17,7/2/2000,72,2000,7,
072 JUL 07 - JUL 13,Gillnet,Steelhead,26,7/7/2002,72,2002,7,
072 JUL 06 - JUL 12,Gillnet,Steelhead,7,7/6/2003,72,2003,7,
072 JUL 09 - JUL 15,Gillnet,Steelhead,65,7/9/2006,72,2006,7,
072 JUL 06 - JUL 12,Gillnet,Steelhead,91,7/6/2008,72,2008,7,
072 JUL 05 - JUL 11,Gillnet,Steelhead,7,7/5/2009,72,2009,7,
072 JUL 07 - JUL 13,Seine,Steelhead,27,7/7/1996,72,1996,7,
072 JUL 06 - JUL 12,Troll,Steelhead,9,7/6/1997,72,1997,7,
073 JUL 14 - JUL 20,Gillnet,Chinook,140979,7/14/1996,73,1996,7,
073 JUL 13 - JUL 19,Gillnet,Chinook,72455,7/13/1997,73,1997,7,
073 JUL 12 - JUL 18,Gillnet,Chinook,36802,7/12/1998,73,1998,7,
073 JUL 11 - JUL 17,Gillnet,Chinook,49463,7/11/1999,73,1999,7,
073 JUL 09 - JUL 15,Gillnet,Chinook,184124,7/9/2000,73,2000,7,
073 JUL 15 - JUL 21,Gillnet,Chinook,156188,7/15/2001,73,2001,7,
073 JUL 14 - JUL 20,Gillnet,Chinook,68946,7/14/2002,73,2002,7,
073 JUL 13 - JUL 19,Gillnet,Chinook,73439,7/13/2003,73,2003,7,
073 JUL 11 - JUL 17,Gillnet,Chinook,93337,7/11/2004,73,2004,7,
073 JUL 10 - JUL 16,Gillnet,Chinook,73402,7/10/2005,73,2005,7,
073 JUL 16 - JUL 22,Gillnet,Chinook,118261,7/16/2006,73,2006,7,
073 JUL 15 - JUL 21,Gillnet,Chinook,108432,7/15/2007,73,2007,7,
073 JUL 13 - JUL 19,Gillnet,Chinook,84298,7/13/2008,73,2008,7,
073 JUL 12 - JUL 18,Gillnet,Chinook,43278,7/12/2009,73,2009,7,
073 JUL 11 - JUL 17,Gillnet,Chinook,47813,7/11/2010,73,2010,7,
073 JUL 10 - JUL 16,Gillnet,Chinook,95757,7/10/2011,73,2011,7,
073 JUL 15 - JUL 21,Gillnet,Chinook,31869,7/15/2012,73,2012,7,
073 JUL 14 - JUL 20,Seine,Chinook,27891,7/14/1996,73,1996,7,
073 JUL 13 - JUL 19,Seine,Chinook,20962,7/13/1997,73,1997,7,
073 JUL 12 - JUL 18,Seine,Chinook,5336,7/12/1998,73,1998,7,
073 JUL 11 - JUL 17,Seine,Chinook,31,7/11/1999,73,1999,7,
073 JUL 09 - JUL 15,Seine,Chinook,62,7/9/2000,73,2000,7,
073 JUL 11 - JUL 17,Seine,Chinook,3,7/11/2004,73,2004,7,
073 JUL 10 - JUL 16,Seine,Chinook,28,7/10/2005,73,2005,7,
073 JUL 15 - JUL 21,Seine,Chinook,100,7/15/2007,73,2007,7,
073 JUL 13 - JUL 19,Troll,Chinook,783619,7/13/1997,73,1997,7,
073 JUL 12 - JUL 18,Troll,Chinook,191226,7/12/1998,73,1998,7,
073 JUL 11 - JUL 17,Troll,Chinook,1680,7/11/1999,73,1999,7,
073 JUL 15 - JUL 21,Troll,Chinook,35008,7/15/2001,73,2001,7,
073 JUL 14 - JUL 20,Troll,Chinook,332,7/14/2002,73,2002,7,
073 JUL 13 - JUL 19,Troll,Chinook,116,7/13/2003,73,2003,7,
073 JUL 11 - JUL 17,Troll,Chinook,41543,7/11/2004,73,2004,7,
073 JUL 10 - JUL 16,Troll,Chinook,494289,7/10/2005,73,2005,7,
073 JUL 16 - JUL 22,Troll,Chinook,702275,7/16/2006,73,2006,7,
073 JUL 15 - JUL 21,Troll,Chinook,617409,7/15/2007,73,2007,7,
073 JUL 13 - JUL 19,Troll,Chinook,684311,7/13/2008,73,2008,7,
073 JUL 12 - JUL 18,Troll,Chinook,795636,7/12/2009,73,2009,7,
073 JUL 11 - JUL 17,Troll,Chinook,786938,7/11/2010,73,2010,7,
073 JUL 15 - JUL 21,Troll,Chinook,412781,7/15/2012,73,2012,7,
073 JUL 14 - JUL 20,Gillnet,Chum,353976,7/14/1996,73,1996,7,
073 JUL 13 - JUL 19,Gillnet,Chum,100274,7/13/1997,73,1997,7,
073 JUL 12 - JUL 18,Gillnet,Chum,96467,7/12/1998,73,1998,7,
073 JUL 11 - JUL 17,Gillnet,Chum,203081,7/11/1999,73,1999,7,
073 JUL 09 - JUL 15,Gillnet,Chum,77878,7/9/2000,73,2000,7,
073 JUL 15 - JUL 21,Gillnet,Chum,299832,7/15/2001,73,2001,7,
073 JUL 14 - JUL 20,Gillnet,Chum,73984,7/14/2002,73,2002,7,
073 JUL 13 - JUL 19,Gillnet,Chum,71745,7/13/2003,73,2003,7,
073 JUL 11 - JUL 17,Gillnet,Chum,133905,7/11/2004,73,2004,7,
073 JUL 10 - JUL 16,Gillnet,Chum,153437,7/10/2005,73,2005,7,
073 JUL 16 - JUL 22,Gillnet,Chum,217396,7/16/2006,73,2006,7,
073 JUL 15 - JUL 21,Gillnet,Chum,286431,7/15/2007,73,2007,7,
073 JUL 13 - JUL 19,Gillnet,Chum,56180,7/13/2008,73,2008,7,
073 JUL 12 - JUL 18,Gillnet,Chum,88114,7/12/2009,73,2009,7,
073 JUL 11 - JUL 17,Gillnet,Chum,18715,7/11/2010,73,2010,7,
073 JUL 10 - JUL 16,Gillnet,Chum,21825,7/10/2011,73,2011,7,
073 JUL 15 - JUL 21,Gillnet,Chum,103189,7/15/2012,73,2012,7,
073 JUL 14 - JUL 20,Seine,Chum,193809,7/14/1996,73,1996,7,
073 JUL 13 - JUL 19,Seine,Chum,133663,7/13/1997,73,1997,7,
073 JUL 12 - JUL 18,Seine,Chum,169683,7/12/1998,73,1998,7,
073 JUL 11 - JUL 17,Seine,Chum,95908,7/11/1999,73,1999,7,
073 JUL 09 - JUL 15,Seine,Chum,148319,7/9/2000,73,2000,7,
073 JUL 15 - JUL 21,Seine,Chum,177795,7/15/2001,73,2001,7,
073 JUL 14 - JUL 20,Seine,Chum,36125,7/14/2002,73,2002,7,
073 JUL 13 - JUL 19,Seine,Chum,14603,7/13/2003,73,2003,7,
073 JUL 11 - JUL 17,Seine,Chum,70238,7/11/2004,73,2004,7,
073 JUL 10 - JUL 16,Seine,Chum,32595,7/10/2005,73,2005,7,
073 JUL 16 - JUL 22,Seine,Chum,50046,7/16/2006,73,2006,7,
073 JUL 15 - JUL 21,Seine,Chum,159126,7/15/2007,73,2007,7,
073 JUL 13 - JUL 19,Seine,Chum,1983,7/13/2008,73,2008,7,
073 JUL 12 - JUL 18,Seine,Chum,5402,7/12/2009,73,2009,7,
073 JUL 11 - JUL 17,Seine,Chum,95,7/11/2010,73,2010,7,
073 JUL 15 - JUL 21,Seine,Chum,122534,7/15/2012,73,2012,7,
073 JUL 14 - JUL 20,Troll,Chum,29842,7/14/1996,73,1996,7,
073 JUL 13 - JUL 19,Troll,Chum,29559,7/13/1997,73,1997,7,
073 JUL 12 - JUL 18,Troll,Chum,1444,7/12/1998,73,1998,7,
073 JUL 15 - JUL 21,Troll,Chum,366,7/15/2001,73,2001,7,
073 JUL 10 - JUL 16,Troll,Chum,22,7/10/2005,73,2005,7,
073 JUL 15 - JUL 21,Troll,Chum,462,7/15/2007,73,2007,7,
073 JUL 12 - JUL 18,Troll,Chum,329,7/12/2009,73,2009,7,
073 JUL 11 - JUL 17,Troll,Chum,115,7/11/2010,73,2010,7,
073 JUL 10 - JUL 16,Troll,Chum,25,7/10/2011,73,2011,7,
073 JUL 14 - JUL 20,Gillnet,Coho,75060,7/14/1996,73,1996,7,
073 JUL 13 - JUL 19,Gillnet,Coho,32509,7/13/1997,73,1997,7,
073 JUL 12 - JUL 18,Gillnet,Coho,252,7/12/1998,73,1998,7,
073 JUL 11 - JUL 17,Gillnet,Coho,98,7/11/1999,73,1999,7,
073 JUL 09 - JUL 15,Gillnet,Coho,105,7/9/2000,73,2000,7,
073 JUL 15 - JUL 21,Gillnet,Coho,230,7/15/2001,73,2001,7,
073 JUL 14 - JUL 20,Gillnet,Coho,1237,7/14/2002,73,2002,7,
073 JUL 13 - JUL 19,Gillnet,Coho,172,7/13/2003,73,2003,7,
073 JUL 11 - JUL 17,Gillnet,Coho,1534,7/11/2004,73,2004,7,
073 JUL 10 - JUL 16,Gillnet,Coho,1020,7/10/2005,73,2005,7,
073 JUL 16 - JUL 22,Gillnet,Coho,4833,7/16/2006,73,2006,7,
073 JUL 15 - JUL 21,Gillnet,Coho,7701,7/15/2007,73,2007,7,
073 JUL 13 - JUL 19,Gillnet,Coho,2132,7/13/2008,73,2008,7,
073 JUL 12 - JUL 18,Gillnet,Coho,3458,7/12/2009,73,2009,7,
073 JUL 11 - JUL 17,Gillnet,Coho,3733,7/11/2010,73,2010,7,
073 JUL 10 - JUL 16,Gillnet,Coho,1006,7/10/2011,73,2011,7,
073 JUL 15 - JUL 21,Gillnet,Coho,1246,7/15/2012,73,2012,7,
073 JUL 14 - JUL 20,Seine,Coho,41019,7/14/1996,73,1996,7,
073 JUL 13 - JUL 19,Seine,Coho,1777,7/13/1997,73,1997,7,
073 JUL 12 - JUL 18,Seine,Coho,10,7/12/1998,73,1998,7,
073 JUL 11 - JUL 17,Seine,Coho,2634,7/11/2004,73,2004,7,
073 JUL 10 - JUL 16,Seine,Coho,2630,7/10/2005,73,2005,7,
073 JUL 16 - JUL 22,Seine,Coho,716,7/16/2006,73,2006,7,
073 JUL 15 - JUL 21,Seine,Coho,15637,7/15/2007,73,2007,7,
073 JUL 14 - JUL 20,Troll,Coho,294729,7/14/1996,73,1996,7,
073 JUL 13 - JUL 19,Troll,Coho,64634,7/13/1997,73,1997,7,
073 JUL 14 - JUL 20,Troll,Coho,382,7/14/2002,73,2002,7,
073 JUL 11 - JUL 17,Troll,Coho,11016,7/11/2004,73,2004,7,
073 JUL 16 - JUL 22,Troll,Coho,14239,7/16/2006,73,2006,7,
073 JUL 15 - JUL 21,Troll,Coho,16671,7/15/2007,73,2007,7,
073 JUL 13 - JUL 19,Troll,Coho,5972,7/13/2008,73,2008,7,
073 JUL 12 - JUL 18,Troll,Coho,22499,7/12/2009,73,2009,7,
073 JUL 11 - JUL 17,Troll,Coho,39788,7/11/2010,73,2010,7,
073 JUL 10 - JUL 16,Troll,Coho,345406,7/10/2011,73,2011,7,
073 JUL 15 - JUL 21,Troll,Coho,18728,7/15/2012,73,2012,7,
073 JUL 14 - JUL 20,Gillnet,Pink,63842,7/14/1996,73,1996,7,
073 JUL 13 - JUL 19,Gillnet,Pink,69646,7/13/1997,73,1997,7,
